"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,25,"BEN","Benin",1,"Alibori","Département","Department",NA,NA
2,25,"BEN","Benin",2,"Atakora","Département","Department",NA,NA
3,25,"BEN","Benin",3,"Atlantique","Département","Department",NA,NA
4,25,"BEN","Benin",4,"Borgou","Département","Department",NA,NA
5,25,"BEN","Benin",5,"Collines","Département","Department",NA,NA
6,25,"BEN","Benin",6,"Donga","Département","Department",NA,NA
7,25,"BEN","Benin",7,"Kouffo","Département","Department",NA,"Couffo"
8,25,"BEN","Benin",8,"Littoral","Département","Department",NA,NA
9,25,"BEN","Benin",9,"Mono","Département","Department",NA,NA
10,25,"BEN","Benin",10,"Ouémé","Département","Department",NA,NA
11,25,"BEN","Benin",11,"Plateau","Département","Department",NA,NA
12,25,"BEN","Benin",12,"Zou","Département","Department",NA,NA
