"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,25,"BEN","Benin",1,"Alibori",1,"Banikoara","Commune","Commune",NA,NA
2,25,"BEN","Benin",1,"Alibori",2,"Gogounou","Commune","Commune",NA,NA
3,25,"BEN","Benin",1,"Alibori",3,"Kandi","Commune","Commune",NA,NA
4,25,"BEN","Benin",1,"Alibori",4,"Karimama","Commune","Commune",NA,NA
5,25,"BEN","Benin",1,"Alibori",5,"Malanville","Commune","Commune",NA,NA
6,25,"BEN","Benin",1,"Alibori",6,"Segbana","Commune","Commune",NA,NA
7,25,"BEN","Benin",2,"Atakora",7,"Boukoumbé","Commune","Commune",NA,"Boukombé"
8,25,"BEN","Benin",2,"Atakora",8,"Cobly","Commune","Commune",NA,"Cobli|Cobli"
9,25,"BEN","Benin",2,"Atakora",9,"Kérou","Commune","Commune",NA,NA
10,25,"BEN","Benin",2,"Atakora",10,"Kouandé","Commune","Commune",NA,NA
11,25,"BEN","Benin",2,"Atakora",11,"Matéri","Commune","Commune",NA,NA
12,25,"BEN","Benin",2,"Atakora",12,"Natitingou","Commune","Commune",NA,"Natingou"
13,25,"BEN","Benin",2,"Atakora",13,"Péhunco","Commune","Commune",NA,"Pehonko"
14,25,"BEN","Benin",2,"Atakora",14,"Tanguiéta","Commune","Commune",NA,NA
15,25,"BEN","Benin",2,"Atakora",15,"Toucountouna","Commune","Commune",NA,"Tchoukoutouna"
16,25,"BEN","Benin",3,"Atlantique",16,"Abomey-Calavi","Commune","Commune",NA,NA
17,25,"BEN","Benin",3,"Atlantique",17,"Allada","Commune","Commune",NA,NA
18,25,"BEN","Benin",3,"Atlantique",18,"Kpomassè","Commune","Commune",NA,NA
19,25,"BEN","Benin",3,"Atlantique",19,"Ouidah","Commune","Commune",NA,NA
20,25,"BEN","Benin",3,"Atlantique",20,"Sô-Ava","Commune","Commune",NA,NA
21,25,"BEN","Benin",3,"Atlantique",21,"Toffo","Commune","Commune",NA,NA
22,25,"BEN","Benin",3,"Atlantique",22,"Tori-Bossito","Commune","Commune",NA,NA
23,25,"BEN","Benin",3,"Atlantique",23,"Zè","Commune","Commune",NA,NA
24,25,"BEN","Benin",4,"Borgou",24,"Bembéréké","Commune","Commune",NA,NA
25,25,"BEN","Benin",4,"Borgou",25,"Kalalé","Commune","Commune",NA,NA
26,25,"BEN","Benin",4,"Borgou",26,"N'Dali","Commune","Commune",NA,"Ndali"
27,25,"BEN","Benin",4,"Borgou",27,"Nikki","Commune","Commune",NA,NA
28,25,"BEN","Benin",4,"Borgou",28,"Pèrèrè","Commune","Commune",NA,NA
29,25,"BEN","Benin",4,"Borgou",29,"Parakou","Commune","Commune",NA,NA
30,25,"BEN","Benin",4,"Borgou",30,"Sinendé","Commune","Commune",NA,NA
31,25,"BEN","Benin",4,"Borgou",31,"Tchaourou","Commune","Commune",NA,NA
32,25,"BEN","Benin",5,"Collines",32,"Bantè","Commune","Commune",NA,NA
33,25,"BEN","Benin",5,"Collines",33,"Dassa-Zoumè","Commune","Commune",NA,"Dassa"
34,25,"BEN","Benin",5,"Collines",34,"Glazoué","Commune","Commune",NA,NA
35,25,"BEN","Benin",5,"Collines",35,"Ouèssè","Commune","Commune",NA,NA
36,25,"BEN","Benin",5,"Collines",36,"Savè","Commune","Commune",NA,NA
37,25,"BEN","Benin",5,"Collines",37,"Savalou","Commune","Commune",NA,NA
38,25,"BEN","Benin",6,"Donga",38,"Bassila","Commune","Commune",NA,NA
39,25,"BEN","Benin",6,"Donga",39,"Copargo","Commune","Commune",NA,NA
40,25,"BEN","Benin",6,"Donga",40,"Djougou","Commune","Commune",NA,"Djougou Urban"
41,25,"BEN","Benin",6,"Donga",41,"Ouaké","Commune","Commune",NA,NA
42,25,"BEN","Benin",7,"Kouffo",42,"Aplahoué","Commune","Commune",NA,NA
43,25,"BEN","Benin",7,"Kouffo",43,"Djakotomey","Commune","Commune",NA,"Djakotome"
44,25,"BEN","Benin",7,"Kouffo",44,"Dogbo","Commune","Commune",NA,"Dogbo-Tota"
45,25,"BEN","Benin",7,"Kouffo",45,"Klouékanmè","Commune","Commune",NA,"Klouékanmey"
46,25,"BEN","Benin",7,"Kouffo",46,"Lalo","Commune","Commune",NA,NA
47,25,"BEN","Benin",7,"Kouffo",47,"Toviklin","Commune","Commune",NA,NA
48,25,"BEN","Benin",8,"Littoral",48,"Cotonou","Commune","Commune",NA,NA
49,25,"BEN","Benin",9,"Mono",49,"Athiémé","Commune","Commune",NA,NA
50,25,"BEN","Benin",9,"Mono",50,"Bopa","Commune","Commune",NA,NA
51,25,"BEN","Benin",9,"Mono",51,"Comè","Commune","Commune",NA,NA
52,25,"BEN","Benin",9,"Mono",52,"Grand-Popo","Commune","Commune",NA,NA
53,25,"BEN","Benin",9,"Mono",53,"Houéyogbé","Commune","Commune",NA,NA
54,25,"BEN","Benin",10,"Ouémé",54,"Adjarra","Commune","Commune",NA,"Adjara"
55,25,"BEN","Benin",10,"Ouémé",55,"Adjohoun","Commune","Commune",NA,NA
56,25,"BEN","Benin",10,"Ouémé",56,"Aguégués","Commune","Commune",NA,"Aguegue|Aguégué"
57,25,"BEN","Benin",10,"Ouémé",57,"Akpro-Missérété","Commune","Commune",NA,NA
58,25,"BEN","Benin",10,"Ouémé",58,"Avrankou","Commune","Commune",NA,NA
59,25,"BEN","Benin",10,"Ouémé",59,"Bonou","Commune","Commune",NA,NA
60,25,"BEN","Benin",10,"Ouémé",60,"Dangbo","Commune","Commune",NA,NA
61,25,"BEN","Benin",10,"Ouémé",61,"Porto-Novo","Commune","Commune",NA,"Porto Novo"
62,25,"BEN","Benin",10,"Ouémé",62,"Sèmè-Kpodji","Commune","Commune",NA,"Sèmè-Podji"
63,25,"BEN","Benin",11,"Plateau",63,"Adja-Ouèrè","Commune","Commune",NA,"Ikpinle"
64,25,"BEN","Benin",11,"Plateau",64,"Ifangni","Commune","Commune",NA,NA
65,25,"BEN","Benin",11,"Plateau",65,"Kétou","Commune","Commune",NA,NA
66,25,"BEN","Benin",11,"Plateau",66,"Pobè","Commune","Commune",NA,NA
67,25,"BEN","Benin",11,"Plateau",67,"Sakété","Commune","Commune",NA,NA
68,25,"BEN","Benin",12,"Zou",68,"Abomey","Commune","Commune",NA,"Abomé"
69,25,"BEN","Benin",12,"Zou",69,"Agbangnizoun","Commune","Commune",NA,NA
70,25,"BEN","Benin",12,"Zou",70,"Bohicon","Commune","Commune",NA,NA
71,25,"BEN","Benin",12,"Zou",71,"Covè","Commune","Commune",NA,NA
72,25,"BEN","Benin",12,"Zou",72,"Djidja","Commune","Commune",NA,NA
73,25,"BEN","Benin",12,"Zou",73,"Ouinhi","Commune","Commune",NA,NA
74,25,"BEN","Benin",12,"Zou",74,"Za-Kpota","Commune","Commune",NA,"Za Kpota"
75,25,"BEN","Benin",12,"Zou",75,"Zagnanado","Commune","Commune",NA,"Zangnanado"
76,25,"BEN","Benin",12,"Zou",76,"Zogbodomey","Commune","Commune",NA,"Zogbodome"
