"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,39,"BDI","Burundi",1,"Bubanza","Province","Province",NA,NA
2,39,"BDI","Burundi",2,"Bujumbura Mairie","Province","Province",NA,NA
3,39,"BDI","Burundi",3,"Bujumbura Rural","Province","Province",NA,"Usumbura"
4,39,"BDI","Burundi",4,"Bururi","Province","Province",NA,NA
5,39,"BDI","Burundi",5,"Cankuzo","Province","Province",NA,NA
6,39,"BDI","Burundi",6,"Cibitoke","Province","Province",NA,NA
7,39,"BDI","Burundi",7,"Gitega","Province","Province",NA,"Kitega"
8,39,"BDI","Burundi",8,"Karuzi","Province","Province",NA,"Karusi"
9,39,"BDI","Burundi",9,"Kayanza","Province","Province",NA,NA
10,39,"BDI","Burundi",10,"Kirundo","Province","Province",NA,NA
11,39,"BDI","Burundi",11,"Makamba","Province","Province",NA,NA
12,39,"BDI","Burundi",12,"Muramvya","Province","Province",NA,"Muramviya"
13,39,"BDI","Burundi",13,"Muyinga","Province","Province",NA,"Muhinga"
14,39,"BDI","Burundi",14,"Mwaro","Province","Province",NA,NA
15,39,"BDI","Burundi",15,"Ngozi","Province","Province",NA,NA
16,39,"BDI","Burundi",16,"Rutana","Province","Province",NA,NA
17,39,"BDI","Burundi",17,"Ruyigi","Province","Province",NA,NA
