"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
1,39,"BDI","Burundi",1,"Bubanza",1,"Bubanza",1,"Buhororo","Colline","Colline",NA,NA
2,39,"BDI","Burundi",1,"Bubanza",1,"Bubanza",2,"Buvyuko","Colline","Colline",NA,NA
3,39,"BDI","Burundi",1,"Bubanza",1,"Bubanza",3,"Centre-Urbain","Colline","Colline",NA,NA
4,39,"BDI","Burundi",1,"Bubanza",1,"Bubanza",4,"Ciya","Colline","Colline",NA,NA
5,39,"BDI","Burundi",1,"Bubanza",1,"Bubanza",5,"Gahongore","Colline","Colline",NA,NA
6,39,"BDI","Burundi",1,"Bubanza",1,"Bubanza",6,"Gatura","Colline","Colline",NA,NA
7,39,"BDI","Burundi",1,"Bubanza",1,"Bubanza",7,"Gitanga","Colline","Colline",NA,NA
8,39,"BDI","Burundi",1,"Bubanza",1,"Bubanza",8,"Karinzi","Colline","Colline",NA,NA
9,39,"BDI","Burundi",1,"Bubanza",1,"Bubanza",9,"Kazeke","Colline","Colline",NA,NA
10,39,"BDI","Burundi",1,"Bubanza",1,"Bubanza",10,"Kivyiru","Colline","Colline",NA,NA
11,39,"BDI","Burundi",1,"Bubanza",1,"Bubanza",11,"Mitakataka","Colline","Colline",NA,NA
12,39,"BDI","Burundi",1,"Bubanza",1,"Bubanza",12,"Mugimbu","Colline","Colline",NA,NA
13,39,"BDI","Burundi",1,"Bubanza",1,"Bubanza",13,"Muhanza","Colline","Colline",NA,NA
14,39,"BDI","Burundi",1,"Bubanza",1,"Bubanza",14,"Muhenga","Colline","Colline",NA,NA
15,39,"BDI","Burundi",1,"Bubanza",1,"Bubanza",15,"Muramba","Colline","Colline",NA,NA
16,39,"BDI","Burundi",1,"Bubanza",1,"Bubanza",16,"Mwanda","Colline","Colline",NA,NA
17,39,"BDI","Burundi",1,"Bubanza",1,"Bubanza",17,"Ngara","Colline","Colline",NA,NA
18,39,"BDI","Burundi",1,"Bubanza",1,"Bubanza",18,"Nyabitaka","Colline","Colline",NA,NA
19,39,"BDI","Burundi",1,"Bubanza",1,"Bubanza",19,"Rugunga","Colline","Colline",NA,NA
20,39,"BDI","Burundi",1,"Bubanza",1,"Bubanza",20,"Rurabo","Colline","Colline",NA,NA
21,39,"BDI","Burundi",1,"Bubanza",1,"Bubanza",21,"Shari","Colline","Colline",NA,NA
22,39,"BDI","Burundi",1,"Bubanza",1,"Bubanza",22,"Zina","Colline","Colline",NA,NA
23,39,"BDI","Burundi",1,"Bubanza",2,"Gihanga",23,"Buramata","Colline","Colline",NA,NA
24,39,"BDI","Burundi",1,"Bubanza",2,"Gihanga",24,"Buringa","Colline","Colline",NA,NA
25,39,"BDI","Burundi",1,"Bubanza",2,"Gihanga",25,"Bwiza Bwa Ninga","Colline","Colline",NA,NA
26,39,"BDI","Burundi",1,"Bubanza",2,"Gihanga",26,"Domaine Militaire","Colline","Colline",NA,NA
27,39,"BDI","Burundi",1,"Bubanza",2,"Gihanga",27,"Gihanga","Colline","Colline",NA,NA
28,39,"BDI","Burundi",1,"Bubanza",2,"Gihanga",28,"Gihungwe","Colline","Colline",NA,NA
29,39,"BDI","Burundi",1,"Bubanza",2,"Gihanga",29,"Mpanda","Colline","Colline",NA,NA
30,39,"BDI","Burundi",1,"Bubanza",2,"Gihanga",30,"Mudubugu","Colline","Colline",NA,NA
31,39,"BDI","Burundi",1,"Bubanza",2,"Gihanga",31,"Murira","Colline","Colline",NA,NA
32,39,"BDI","Burundi",1,"Bubanza",2,"Gihanga",32,"Ninga","Colline","Colline",NA,NA
