"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","ID_4","NAME_4","VARNAME_4","TYPE_4","ENGTYPE_4"
1,39,"BDI","Burundi",1,"Bubanza",1,"Bubanza",1,"Buhororo",1,"Gicaca",NA,"Sous Colline","Sous Colline"
2,39,"BDI","Burundi",1,"Bubanza",1,"Bubanza",1,"Buhororo",2,"Kigereka",NA,"Sous Colline","Sous Colline"
3,39,"BDI","Burundi",1,"Bubanza",1,"Bubanza",1,"Buhororo",3,"Migereka",NA,"Sous Colline","Sous Colline"
4,39,"BDI","Burundi",1,"Bubanza",1,"Bubanza",1,"Buhororo",4,"Ritendeye",NA,"Sous Colline","Sous Colline"
5,39,"BDI","Burundi",1,"Bubanza",1,"Bubanza",2,"Buvyuko",5,"Cimbizi",NA,"Sous Colline","Sous Colline"
6,39,"BDI","Burundi",1,"Bubanza",1,"Bubanza",2,"Buvyuko",6,"Gasebeyi",NA,"Sous Colline","Sous Colline"
7,39,"BDI","Burundi",1,"Bubanza",1,"Bubanza",2,"Buvyuko",7,"Majambere",NA,"Sous Colline","Sous Colline"
8,39,"BDI","Burundi",1,"Bubanza",1,"Bubanza",2,"Buvyuko",8,"Nyongeringundu",NA,"Sous Colline","Sous Colline"
9,39,"BDI","Burundi",1,"Bubanza",1,"Bubanza",2,"Buvyuko",9,"Runyango",NA,"Sous Colline","Sous Colline"
10,39,"BDI","Burundi",1,"Bubanza",1,"Bubanza",3,"Centre-Urbain",10,"Gisovu",NA,"Sous Colline","Sous Colline"
11,39,"BDI","Burundi",1,"Bubanza",1,"Bubanza",4,"Ciya",11,"Bwayero",NA,"Sous Colline","Sous Colline"
12,39,"BDI","Burundi",1,"Bubanza",1,"Bubanza",4,"Ciya",12,"Ciya",NA,"Sous Colline","Sous Colline"
13,39,"BDI","Burundi",1,"Bubanza",1,"Bubanza",4,"Ciya",13,"Muremera",NA,"Sous Colline","Sous Colline"
14,39,"BDI","Burundi",1,"Bubanza",1,"Bubanza",4,"Ciya",14,"Musenzero",NA,"Sous Colline","Sous Colline"
15,39,"BDI","Burundi",1,"Bubanza",1,"Bubanza",5,"Gahongore",15,"Cona",NA,"Sous Colline","Sous Colline"
16,39,"BDI","Burundi",1,"Bubanza",1,"Bubanza",5,"Gahongore",16,"Gahongore",NA,"Sous Colline","Sous Colline"
17,39,"BDI","Burundi",1,"Bubanza",1,"Bubanza",5,"Gahongore",17,"Kayange",NA,"Sous Colline","Sous Colline"
18,39,"BDI","Burundi",1,"Bubanza",1,"Bubanza",5,"Gahongore",18,"Kibangu",NA,"Sous Colline","Sous Colline"
19,39,"BDI","Burundi",1,"Bubanza",1,"Bubanza",5,"Gahongore",19,"Rutana",NA,"Sous Colline","Sous Colline"
20,39,"BDI","Burundi",1,"Bubanza",1,"Bubanza",6,"Gatura",20,"Kadedemvya",NA,"Sous Colline","Sous Colline"
21,39,"BDI","Burundi",1,"Bubanza",1,"Bubanza",6,"Gatura",21,"Kayange",NA,"Sous Colline","Sous Colline"
22,39,"BDI","Burundi",1,"Bubanza",1,"Bubanza",6,"Gatura",22,"Mugombararima",NA,"Sous Colline","Sous Colline"
23,39,"BDI","Burundi",1,"Bubanza",1,"Bubanza",6,"Gatura",23,"Nyarunazi",NA,"Sous Colline","Sous Colline"
24,39,"BDI","Burundi",1,"Bubanza",1,"Bubanza",6,"Gatura",24,"Rimbo",NA,"Sous Colline","Sous Colline"
25,39,"BDI","Burundi",1,"Bubanza",1,"Bubanza",7,"Gitanga",25,"Bwosha",NA,"Sous Colline","Sous Colline"
26,39,"BDI","Burundi",1,"Bubanza",1,"Bubanza",7,"Gitanga",26,"Kigimbu",NA,"Sous Colline","Sous Colline"
27,39,"BDI","Burundi",1,"Bubanza",1,"Bubanza",7,"Gitanga",27,"Miringa",NA,"Sous Colline","Sous Colline"
28,39,"BDI","Burundi",1,"Bubanza",1,"Bubanza",8,"Karinzi",28,"Kigobe",NA,"Sous Colline","Sous Colline"
29,39,"BDI","Burundi",1,"Bubanza",1,"Bubanza",8,"Karinzi",29,"Kirehe",NA,"Sous Colline","Sous Colline"
30,39,"BDI","Burundi",1,"Bubanza",1,"Bubanza",8,"Karinzi",30,"Nyakabanda",NA,"Sous Colline","Sous Colline"
