"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,43,"CPV","Cape Verde",1,"Boa Vista","Concelho","County",NA,NA
2,43,"CPV","Cape Verde",2,"Brava","Concelho","County",NA,NA
3,43,"CPV","Cape Verde",3,"Maio","Concelho","County",NA,NA
4,43,"CPV","Cape Verde",4,"Mosteiros","Concelho","County",NA,NA
5,43,"CPV","Cape Verde",5,"Paúl","Concelho","County",NA,NA
6,43,"CPV","Cape Verde",6,"Porto Novo","Concelho","County",NA,NA
7,43,"CPV","Cape Verde",7,"Praia","Concelho","County",NA,NA
8,43,"CPV","Cape Verde",8,"Ribeira Brava","Concelho","County",NA,NA
9,43,"CPV","Cape Verde",9,"Ribeira Grande de Santiago","Concelho","County",NA,NA
10,43,"CPV","Cape Verde",10,"Ribeira Grande","Concelho","County",NA,"Ribeira Grande de Santo Antão"
11,43,"CPV","Cape Verde",11,"São Domingos","Concelho","County",NA,NA
12,43,"CPV","Cape Verde",12,"São Filipe","Concelho","County",NA,NA
13,43,"CPV","Cape Verde",13,"São Lourenço dos Órgãos","Concelho","County",NA,NA
14,43,"CPV","Cape Verde",14,"São Miguel","Concelho","County",NA,"Calheta de São Miguel"
15,43,"CPV","Cape Verde",15,"São Salvador do Mundo","Concelho","County",NA,NA
16,43,"CPV","Cape Verde",16,"São Vicente","Concelho","County",NA,NA
17,43,"CPV","Cape Verde",17,"Sal","Concelho","County",NA,NA
18,43,"CPV","Cape Verde",18,"Santa Catarina do Fogo ","Concelho","County",NA,NA
19,43,"CPV","Cape Verde",19,"Santa Catarina","Concelho","County",NA,NA
20,43,"CPV","Cape Verde",20,"Santa Cruz","Concelho","County",NA,NA
21,43,"CPV","Cape Verde",21,"Tarrafal de São Nicolau","Concelho","County",NA,NA
22,43,"CPV","Cape Verde",22,"Tarrafal","Concelho","County",NA,NA
