"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,57,"CIV","Côte d'Ivoire",1,"Agnéby","Région","Region",NA,"Agnébi"
2,57,"CIV","Côte d'Ivoire",2,"Bafing","Région","Region",NA,NA
3,57,"CIV","Côte d'Ivoire",3,"Bas-Sassandra","Région","Region",NA,"Cavally inférieur"
4,57,"CIV","Côte d'Ivoire",4,"Denguélé","Région","Region",NA,NA
5,57,"CIV","Côte d'Ivoire",5,"Dix-Huit Montagnes","Région","Region",NA,NA
6,57,"CIV","Côte d'Ivoire",6,"Fromager","Région","Region",NA,NA
7,57,"CIV","Côte d'Ivoire",7,"Haut-Sassandra","Région","Region",NA,"Sassandra supérieur"
8,57,"CIV","Côte d'Ivoire",8,"Lacs","Région","Region",NA,NA
9,57,"CIV","Côte d'Ivoire",9,"Lagunes","Région","Region",NA,NA
10,57,"CIV","Côte d'Ivoire",10,"Marahoué","Région","Region",NA,NA
11,57,"CIV","Côte d'Ivoire",11,"Moyen-Cavally","Région","Region",NA,NA
12,57,"CIV","Côte d'Ivoire",12,"Moyen-Comoé","Région","Region",NA,"Comoé central"
13,57,"CIV","Côte d'Ivoire",13,"N'zi-Comoé","Région","Region",NA,NA
14,57,"CIV","Côte d'Ivoire",14,"Savanes","Région","Region",NA,NA
15,57,"CIV","Côte d'Ivoire",15,"Sud-Bandama","Région","Region",NA,NA
16,57,"CIV","Côte d'Ivoire",16,"Sud-Comoé","Région","Region",NA,NA
17,57,"CIV","Côte d'Ivoire",17,"Vallée du Bandama","Région","Region",NA,NA
18,57,"CIV","Côte d'Ivoire",18,"Worodougou","Région","Region",NA,NA
19,57,"CIV","Côte d'Ivoire",19,"Zanzan","Région","Region",NA,NA
