"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,83,"GAB","Gabon",1,"Estuaire",1,"Komo-Mondah","Département","Department",NA,"Ntoum"
2,83,"GAB","Gabon",1,"Estuaire",2,"Komo","Département","Department",NA,"Kango"
3,83,"GAB","Gabon",1,"Estuaire",3,"Noya","Département","Department",NA,"Cocobeach"
4,83,"GAB","Gabon",2,"Haut-Ogooué",4,"Léboumbi-Leyou","Département","Department",NA,"Mouanda"
5,83,"GAB","Gabon",2,"Haut-Ogooué",5,"Léconi-Djoué","Département","Department",NA,"Onga"
6,83,"GAB","Gabon",2,"Haut-Ogooué",6,"Lékoko","Département","Department",NA,"Bakoumba"
7,83,"GAB","Gabon",2,"Haut-Ogooué",7,"Mpassa","Département","Department",NA,"Franceville"
8,83,"GAB","Gabon",2,"Haut-Ogooué",8,"Plateaux","Département","Department",NA,"Lekoni"
9,83,"GAB","Gabon",2,"Haut-Ogooué",9,"Sébé-Brikolo","Département","Department",NA,"Okondja"
10,83,"GAB","Gabon",3,"Moyen-Ogooué",10,"Abanga-Bigné","Département","Department",NA,"Ndjole"
11,83,"GAB","Gabon",3,"Moyen-Ogooué",11,"Ogooué et des Lacs","Département","Department",NA,"Lambar."
12,83,"GAB","Gabon",4,"Ngounié",12,"Boumi-lowetsi","Département","Department",NA,"Boumi-Louetsi|Mbigou"
13,83,"GAB","Gabon",4,"Ngounié",13,"Dola","Département","Department",NA,"Ndende"
14,83,"GAB","Gabon",4,"Ngounié",14,"Douya Onoye","Département","Department",NA,"Douya-Onoy|Mouila"
15,83,"GAB","Gabon",4,"Ngounié",15,"Louetsi-Wano","Département","Department",NA,"Lebamba"
16,83,"GAB","Gabon",4,"Ngounié",16,"Ndolou","Département","Department",NA,"Mandji"
17,83,"GAB","Gabon",4,"Ngounié",17,"Ogoulou","Département","Department",NA,"Mimongo"
18,83,"GAB","Gabon",4,"Ngounié",18,"Tsamba Mangotsi","Département","Department",NA,"Tsamba-Magotsi|Foug."
19,83,"GAB","Gabon",5,"Nyanga",19,"Basse Banio","Département","Department",NA,"Basse-Banio|Mayumba"
20,83,"GAB","Gabon",5,"Nyanga",20,"Douigny","Département","Department",NA,"Douigni|Moabi"
21,83,"GAB","Gabon",5,"Nyanga",21,"Haute-Banio","Département","Department",NA,"Ndindi"
22,83,"GAB","Gabon",5,"Nyanga",22,"Mougoutsi","Département","Department",NA,"Tchibanga"
23,83,"GAB","Gabon",6,"Ogooué-Ivindo",23,"Ivindo","Département","Department",NA,"Makokou"
24,83,"GAB","Gabon",6,"Ogooué-Ivindo",24,"Lopé","Département","Department",NA,"Booue"
25,83,"GAB","Gabon",6,"Ogooué-Ivindo",25,"Mvoung","Département","Department",NA,"Oveng"
26,83,"GAB","Gabon",6,"Ogooué-Ivindo",26,"Zadié","Département","Department",NA,"Mekambo"
27,83,"GAB","Gabon",7,"Ogooué-Lolo",27,"Lolo Bouenguidi","Département","Department",NA,"Lolo-Bouenguidi|Koula."
28,83,"GAB","Gabon",7,"Ogooué-Lolo",28,"Lombo-Bouenguidi","Département","Department",NA,"Pana"
29,83,"GAB","Gabon",7,"Ogooué-Lolo",29,"Mouloudnou","Département","Department",NA,"Mouloundou|Latoursville"
30,83,"GAB","Gabon",8,"Ogooué-Maritime",30,"Étimboué","Département","Department",NA,"Omboue"
31,83,"GAB","Gabon",8,"Ogooué-Maritime",31,"Bendjé","Département","Department",NA,"Port Gentil"
32,83,"GAB","Gabon",8,"Ogooué-Maritime",32,"Ndougou","Département","Department",NA,"Gamba"
33,83,"GAB","Gabon",9,"Wouleu-Ntem",33,"Haut-Como","Département","Department",NA,"Haut-Komo|Medouneu"
34,83,"GAB","Gabon",9,"Wouleu-Ntem",34,"Haut-Ntem","Département","Department",NA,"Minvoul"
35,83,"GAB","Gabon",9,"Wouleu-Ntem",35,"Ntem","Département","Department",NA,"Bitam"
36,83,"GAB","Gabon",9,"Wouleu-Ntem",36,"Okano","Département","Department",NA,"Mitzik"
37,83,"GAB","Gabon",9,"Wouleu-Ntem",37,"Woleu","Département","Department",NA,"Oyem"
