"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,97,"GIN","Guinea",1,"Boké",1,"Boffa","Préfecture","Prefecture",NA,NA
2,97,"GIN","Guinea",1,"Boké",2,"Boké","Préfecture","Prefecture",NA,NA
3,97,"GIN","Guinea",1,"Boké",3,"Fria","Préfecture","Prefecture",NA,NA
4,97,"GIN","Guinea",1,"Boké",4,"Gaoual","Préfecture","Prefecture",NA,NA
5,97,"GIN","Guinea",1,"Boké",5,"Koundara","Préfecture","Prefecture",NA,"Youkoukoun|Youkounkoun"
6,97,"GIN","Guinea",2,"Conarky",6,"Conarky","Préfecture","Prefecture",NA,NA
7,97,"GIN","Guinea",3,"Faranah",7,"Dabola","Préfecture","Prefecture",NA,NA
8,97,"GIN","Guinea",3,"Faranah",8,"Dinguiraye","Préfecture","Prefecture",NA,NA
9,97,"GIN","Guinea",3,"Faranah",9,"Faranah","Préfecture","Prefecture",NA,NA
10,97,"GIN","Guinea",3,"Faranah",10,"Kissidougou","Préfecture","Prefecture",NA,NA
11,97,"GIN","Guinea",4,"Kankan",11,"Kérouané","Préfecture","Prefecture",NA,NA
12,97,"GIN","Guinea",4,"Kankan",12,"Kankan","Préfecture","Prefecture",NA,NA
13,97,"GIN","Guinea",4,"Kankan",13,"Kouroussa","Préfecture","Prefecture",NA,NA
14,97,"GIN","Guinea",4,"Kankan",14,"Mandiana","Préfecture","Prefecture",NA,NA
15,97,"GIN","Guinea",4,"Kankan",15,"Siguiri","Préfecture","Prefecture",NA,NA
16,97,"GIN","Guinea",5,"Kindia",16,"Coyah","Préfecture","Prefecture",NA,NA
17,97,"GIN","Guinea",5,"Kindia",17,"Dubréka","Préfecture","Prefecture",NA,NA
18,97,"GIN","Guinea",5,"Kindia",18,"Forécariah","Préfecture","Prefecture",NA,NA
19,97,"GIN","Guinea",5,"Kindia",19,"Kindia","Préfecture","Prefecture",NA,NA
20,97,"GIN","Guinea",5,"Kindia",20,"Télimélé","Préfecture","Prefecture",NA,NA
21,97,"GIN","Guinea",6,"Labé",21,"Koubia","Préfecture","Prefecture",NA,NA
22,97,"GIN","Guinea",6,"Labé",22,"Lélouma","Préfecture","Prefecture",NA,NA
23,97,"GIN","Guinea",6,"Labé",23,"Labé","Préfecture","Prefecture",NA,NA
24,97,"GIN","Guinea",6,"Labé",24,"Mali","Préfecture","Prefecture",NA,NA
25,97,"GIN","Guinea",6,"Labé",25,"Tougué","Préfecture","Prefecture",NA,"Touge"
26,97,"GIN","Guinea",7,"Mamou",26,"Dalaba","Préfecture","Prefecture",NA,NA
27,97,"GIN","Guinea",7,"Mamou",27,"Mamou","Préfecture","Prefecture",NA,NA
28,97,"GIN","Guinea",7,"Mamou",28,"Pita","Préfecture","Prefecture",NA,NA
29,97,"GIN","Guinea",8,"Nzérékoré",29,"Beyla","Préfecture","Prefecture",NA,NA
30,97,"GIN","Guinea",8,"Nzérékoré",30,"Guéckédou","Préfecture","Prefecture",NA,"Guékédou"
31,97,"GIN","Guinea",8,"Nzérékoré",31,"Lola","Préfecture","Prefecture",NA,NA
32,97,"GIN","Guinea",8,"Nzérékoré",32,"Macenta","Préfecture","Prefecture",NA,NA
33,97,"GIN","Guinea",8,"Nzérékoré",33,"Nzérékoré","Préfecture","Prefecture",NA,NA
34,97,"GIN","Guinea",8,"Nzérékoré",34,"Yamou","Préfecture","Prefecture",NA,NA
