"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
1,97,"GIN","Guinea",1,"Boké",1,"Boffa",1,"Boffa-Centre","Sub-prefecture","Sub-prefecture",NA,NA
2,97,"GIN","Guinea",1,"Boké",1,"Boffa",2,"Colia","Sub-prefecture","Sub-prefecture",NA,NA
3,97,"GIN","Guinea",1,"Boké",1,"Boffa",3,"Douprou","Sub-prefecture","Sub-prefecture",NA,NA
4,97,"GIN","Guinea",1,"Boké",1,"Boffa",4,"Koba-Tatema","Sub-prefecture","Sub-prefecture",NA,NA
5,97,"GIN","Guinea",1,"Boké",1,"Boffa",5,"Lisso","Sub-prefecture","Sub-prefecture",NA,NA
6,97,"GIN","Guinea",1,"Boké",1,"Boffa",6,"Mankountan","Sub-prefecture","Sub-prefecture",NA,NA
7,97,"GIN","Guinea",1,"Boké",1,"Boffa",7,"Tamita","Sub-prefecture","Sub-prefecture",NA,NA
8,97,"GIN","Guinea",1,"Boké",1,"Boffa",8,"Tougnifili","Sub-prefecture","Sub-prefecture",NA,NA
9,97,"GIN","Guinea",1,"Boké",2,"Boké",9,"Bintimodiya","Sub-prefecture","Sub-prefecture",NA,NA
10,97,"GIN","Guinea",1,"Boké",2,"Boké",10,"Boké-Centre","Sub-prefecture","Sub-prefecture",NA,NA
11,97,"GIN","Guinea",1,"Boké",2,"Boké",11,"Dabiss","Sub-prefecture","Sub-prefecture",NA,NA
12,97,"GIN","Guinea",1,"Boké",2,"Boké",12,"Kamsar","Sub-prefecture","Sub-prefecture",NA,NA
13,97,"GIN","Guinea",1,"Boké",2,"Boké",13,"Kanfarandé","Sub-prefecture","Sub-prefecture",NA,NA
14,97,"GIN","Guinea",1,"Boké",2,"Boké",14,"Kolaboui","Sub-prefecture","Sub-prefecture",NA,NA
15,97,"GIN","Guinea",1,"Boké",2,"Boké",15,"Malapouyah","Sub-prefecture","Sub-prefecture",NA,NA
16,97,"GIN","Guinea",1,"Boké",2,"Boké",16,"Sangarédi","Sub-prefecture","Sub-prefecture",NA,NA
17,97,"GIN","Guinea",1,"Boké",2,"Boké",17,"Sansalé","Sub-prefecture","Sub-prefecture",NA,NA
