"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,143,"MUS","Mauritius",1,"Black River","District","District",NA,NA
2,143,"MUS","Mauritius",2,"Coco Island",NA,NA,NA,NA
3,143,"MUS","Mauritius",3,"Flacq","District","District",NA,NA
4,143,"MUS","Mauritius",4,"Grand Port","District","District",NA,NA
5,143,"MUS","Mauritius",5,"Moka","District","District",NA,NA
6,143,"MUS","Mauritius",6,"North Island",NA,NA,NA,NA
7,143,"MUS","Mauritius",7,"Pamplemousses","District","District",NA,NA
8,143,"MUS","Mauritius",8,"Plaines Wilhems","District","District",NA,NA
9,143,"MUS","Mauritius",9,"Port Louis","District","District",NA,NA
10,143,"MUS","Mauritius",10,"Rivière du Rempart","District","District",NA,NA
11,143,"MUS","Mauritius",11,"Rodriguez",NA,NA,NA,NA
12,143,"MUS","Mauritius",12,"Savanne","District","District",NA,NA
