"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,152,"MAR","Morocco",1,"Chaouia - Ouardigha","Region","Region",NA,NA
2,152,"MAR","Morocco",2,"Doukkala - Abda","Region","Region",NA,NA
3,152,"MAR","Morocco",3,"Fès - Boulemane","Region","Region",NA,NA
4,152,"MAR","Morocco",4,"Gharb - Chrarda - Béni Hssen","Region","Region",NA,NA
5,152,"MAR","Morocco",5,"Grand Casablanca","Region","Region",NA,NA
6,152,"MAR","Morocco",6,"Guelmim - Es-Semara","Region","Region",NA,NA
7,152,"MAR","Morocco",7,"Laâyoune - Boujdour - Sakia El Hamra","Region","Region",NA,NA
8,152,"MAR","Morocco",8,"Marrakech - Tensift - Al Haouz","Region","Region",NA,NA
9,152,"MAR","Morocco",9,"Meknès - Tafilalet","Region","Region",NA,NA
10,152,"MAR","Morocco",10,"Oriental","Region","Region",NA,NA
11,152,"MAR","Morocco",11,"Rabat - Salé - Zemmour - Zaer","Region","Region",NA,NA
12,152,"MAR","Morocco",12,"Souss - Massa - Draâ","Region","Region",NA,NA
13,152,"MAR","Morocco",13,"Tadla - Azilal","Region","Region",NA,NA
14,152,"MAR","Morocco",14,"Tanger - Tétouan","Region","Region",NA,NA
15,152,"MAR","Morocco",15,"Taza - Al Hoceima - Taounate","Region","Region",NA,NA
