"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,153,"MOZ","Mozambique",1,"Cabo Delgado","Provincia","Province",NA,NA
2,153,"MOZ","Mozambique",2,"Gaza","Provincia","Province",NA,NA
3,153,"MOZ","Mozambique",3,"Inhambane","Provincia","Province",NA,NA
4,153,"MOZ","Mozambique",4,"Manica","Provincia","Province",NA,NA
5,153,"MOZ","Mozambique",5,"Maputo City","Provincia","Province",NA,NA
6,153,"MOZ","Mozambique",6,"Maputo","Provincia","Province",NA,NA
7,153,"MOZ","Mozambique",7,"Nampula","Provincia","Province",NA,"Moçambique|Mozambique"
8,153,"MOZ","Mozambique",8,"Nassa","Provincia","Province",NA,"Niassa"
9,153,"MOZ","Mozambique",9,"Sofala","Provincia","Province",NA,NA
10,153,"MOZ","Mozambique",10,"Tete","Provincia","Province",NA,NA
11,153,"MOZ","Mozambique",11,"Zambezia","Provincia","Province",NA,NA
