"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,153,"MOZ","Mozambique",1,"Cabo Delgado",1,"Ancuabe","Distrito","District",NA,NA
2,153,"MOZ","Mozambique",1,"Cabo Delgado",2,"Balama","Distrito","District",NA,NA
3,153,"MOZ","Mozambique",1,"Cabo Delgado",3,"Chiúre","Distrito","District",NA,NA
4,153,"MOZ","Mozambique",1,"Cabo Delgado",4,"Macomia","Distrito","District",NA,NA
5,153,"MOZ","Mozambique",1,"Cabo Delgado",5,"Mecufi","Distrito","District",NA,NA
6,153,"MOZ","Mozambique",1,"Cabo Delgado",6,"Meluco","Distrito","District",NA,NA
7,153,"MOZ","Mozambique",1,"Cabo Delgado",7,"Mocimboa da Praia","Distrito","District",NA,NA
8,153,"MOZ","Mozambique",1,"Cabo Delgado",8,"Montepuez","Distrito","District",NA,NA
9,153,"MOZ","Mozambique",1,"Cabo Delgado",9,"Mueda","Distrito","District",NA,NA
10,153,"MOZ","Mozambique",1,"Cabo Delgado",10,"Muidumbe","Distrito","District",NA,NA
11,153,"MOZ","Mozambique",1,"Cabo Delgado",11,"Namuno","Distrito","District",NA,NA
12,153,"MOZ","Mozambique",1,"Cabo Delgado",12,"Nangade","Distrito","District",NA,NA
13,153,"MOZ","Mozambique",1,"Cabo Delgado",13,"Palma","Distrito","District",NA,NA
14,153,"MOZ","Mozambique",1,"Cabo Delgado",14,"Pemba","Distrito","District",NA,"Pemba-Metuge"
15,153,"MOZ","Mozambique",1,"Cabo Delgado",15,"Quissanga","Distrito","District",NA,NA
16,153,"MOZ","Mozambique",2,"Gaza",16,"Bilene","Distrito","District",NA,"Bilene-Macia"
17,153,"MOZ","Mozambique",2,"Gaza",17,"Chókwè","Distrito","District",NA,NA
18,153,"MOZ","Mozambique",2,"Gaza",18,"Chibuto","Distrito","District",NA,NA
19,153,"MOZ","Mozambique",2,"Gaza",19,"Chicualacuala","Distrito","District",NA,NA
20,153,"MOZ","Mozambique",2,"Gaza",20,"Chigubo","Distrito","District",NA,NA
21,153,"MOZ","Mozambique",2,"Gaza",21,"Guijá","Distrito","District",NA,NA
22,153,"MOZ","Mozambique",2,"Gaza",22,"Mabalane","Distrito","District",NA,NA
23,153,"MOZ","Mozambique",2,"Gaza",23,"Mandlakazi","Distrito","District",NA,NA
24,153,"MOZ","Mozambique",2,"Gaza",24,"Massangena","Distrito","District",NA,NA
25,153,"MOZ","Mozambique",2,"Gaza",25,"Massingir","Distrito","District",NA,NA
26,153,"MOZ","Mozambique",2,"Gaza",26,"Xai-Xai","Distrito","District",NA,NA
27,153,"MOZ","Mozambique",3,"Inhambane",27,"Funhalouro","Distrito","District",NA,NA
28,153,"MOZ","Mozambique",3,"Inhambane",28,"Govuro","Distrito","District",NA,NA
29,153,"MOZ","Mozambique",3,"Inhambane",29,"Homoine","Distrito","District",NA,NA
30,153,"MOZ","Mozambique",3,"Inhambane",30,"Inharrime","Distrito","District",NA,NA
31,153,"MOZ","Mozambique",3,"Inhambane",31,"Inhassoro","Distrito","District",NA,NA
32,153,"MOZ","Mozambique",3,"Inhambane",32,"Jangamo","Distrito","District",NA,NA
33,153,"MOZ","Mozambique",3,"Inhambane",33,"Mabote","Distrito","District",NA,NA
34,153,"MOZ","Mozambique",3,"Inhambane",34,"Massinga","Distrito","District",NA,NA
35,153,"MOZ","Mozambique",3,"Inhambane",35,"Morrumbene","Distrito","District",NA,NA
36,153,"MOZ","Mozambique",3,"Inhambane",36,"Panda","Distrito","District",NA,NA
37,153,"MOZ","Mozambique",3,"Inhambane",37,"Vilanculos","Distrito","District",NA,"Vilankulo"
38,153,"MOZ","Mozambique",3,"Inhambane",38,"Zavala","Distrito","District",NA,NA
39,153,"MOZ","Mozambique",4,"Manica",39,"Barue","Distrito","District",NA,NA
40,153,"MOZ","Mozambique",4,"Manica",40,"Gondola","Distrito","District",NA,NA
41,153,"MOZ","Mozambique",4,"Manica",41,"Guro","Distrito","District",NA,NA
42,153,"MOZ","Mozambique",4,"Manica",42,"Machaze","Distrito","District",NA,NA
43,153,"MOZ","Mozambique",4,"Manica",43,"Macossa","Distrito","District",NA,NA
44,153,"MOZ","Mozambique",4,"Manica",44,"Manica","Distrito","District",NA,NA
45,153,"MOZ","Mozambique",4,"Manica",45,"Mossurize","Distrito","District",NA,NA
46,153,"MOZ","Mozambique",4,"Manica",46,"Sussundenga","Distrito","District",NA,NA
47,153,"MOZ","Mozambique",4,"Manica",47,"Tambara","Distrito","District",NA,NA
48,153,"MOZ","Mozambique",5,"Maputo City",48,"Boane","Distrito","District",NA,NA
49,153,"MOZ","Mozambique",5,"Maputo City",49,"Maputo","Distrito","District",NA,NA
50,153,"MOZ","Mozambique",6,"Maputo",50,"Boane","Distrito","District",NA,NA
