"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,155,"NAM","Namibia",1,"!Karas","Region","Region",NA,"Karas"
2,155,"NAM","Namibia",2,"Erongo","Region","Region",NA,NA
3,155,"NAM","Namibia",3,"Hardap","Region","Region",NA,NA
4,155,"NAM","Namibia",4,"Kavango","Region","Region",NA,NA
5,155,"NAM","Namibia",5,"Khomas","Region","Region",NA,NA
6,155,"NAM","Namibia",6,"Kunene","Region","Region",NA,NA
7,155,"NAM","Namibia",7,"Ohangwena","Region","Region",NA,NA
8,155,"NAM","Namibia",8,"Omaheke","Region","Region",NA,NA
9,155,"NAM","Namibia",9,"Omusati","Region","Region",NA,NA
10,155,"NAM","Namibia",10,"Oshana","Region","Region",NA,NA
11,155,"NAM","Namibia",11,"Oshikoto","Region","Region",NA,NA
12,155,"NAM","Namibia",12,"Otjozondjupa","Region","Region",NA,NA
13,155,"NAM","Namibia",13,"Zambezi","Region","Region",NA,"Caprivi"
