"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
1,204,"SLE","Sierra Leone",1,"Eastern",1,"Kailahun",1,"Dia","Chiefdom","Chiefdom",NA,NA
2,204,"SLE","Sierra Leone",1,"Eastern",1,"Kailahun",2,"Jawie","Chiefdom","Chiefdom",NA,NA
3,204,"SLE","Sierra Leone",1,"Eastern",1,"Kailahun",3,"Kissi Kama","Chiefdom","Chiefdom",NA,NA
4,204,"SLE","Sierra Leone",1,"Eastern",1,"Kailahun",4,"Kissi Teng","Chiefdom","Chiefdom",NA,NA
5,204,"SLE","Sierra Leone",1,"Eastern",1,"Kailahun",5,"Kissi Tongi","Chiefdom","Chiefdom",NA,NA
6,204,"SLE","Sierra Leone",1,"Eastern",1,"Kailahun",6,"Luawa","Chiefdom","Chiefdom",NA,NA
7,204,"SLE","Sierra Leone",1,"Eastern",1,"Kailahun",7,"Malema","Chiefdom","Chiefdom",NA,NA
8,204,"SLE","Sierra Leone",1,"Eastern",1,"Kailahun",8,"Mandu","Chiefdom","Chiefdom",NA,NA
9,204,"SLE","Sierra Leone",1,"Eastern",1,"Kailahun",9,"Njaluahun","Chiefdom","Chiefdom",NA,NA
10,204,"SLE","Sierra Leone",1,"Eastern",1,"Kailahun",10,"Pehe Bongre","Chiefdom","Chiefdom",NA,NA
11,204,"SLE","Sierra Leone",1,"Eastern",1,"Kailahun",11,"Peje West","Chiefdom","Chiefdom",NA,NA
12,204,"SLE","Sierra Leone",1,"Eastern",1,"Kailahun",12,"Penguia","Chiefdom","Chiefdom",NA,NA
13,204,"SLE","Sierra Leone",1,"Eastern",1,"Kailahun",13,"Upper Bambara","Chiefdom","Chiefdom",NA,NA
14,204,"SLE","Sierra Leone",1,"Eastern",1,"Kailahun",14,"Yawei","Chiefdom","Chiefdom",NA,NA
15,204,"SLE","Sierra Leone",1,"Eastern",2,"Kenema",15,"Dama","Chiefdom","Chiefdom",NA,NA
16,204,"SLE","Sierra Leone",1,"Eastern",2,"Kenema",16,"Dodo","Chiefdom","Chiefdom",NA,NA
