"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,256,"ZWE","Zimbabwe",1,"Bulawayo","City","City",NA,NA
2,256,"ZWE","Zimbabwe",2,"Harare","City","City",NA,NA
3,256,"ZWE","Zimbabwe",3,"Manicaland","Province","Province",NA,NA
4,256,"ZWE","Zimbabwe",4,"Mashonaland Central","Province","Province",NA,NA
5,256,"ZWE","Zimbabwe",5,"Mashonaland East","Province","Province",NA,NA
6,256,"ZWE","Zimbabwe",6,"Mashonaland West","Province","Province",NA,NA
7,256,"ZWE","Zimbabwe",7,"Masvingo","Province","Province",NA,NA
8,256,"ZWE","Zimbabwe",8,"Matabeleland North","Province","Province",NA,NA
9,256,"ZWE","Zimbabwe",9,"Matabeleland South","Province","Province",NA,NA
10,256,"ZWE","Zimbabwe",10,"Midlands","Province","Province",NA,NA
